,Team,MatchID,Split No.,Period,Delta Time,Split Reason,Splitting Team,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
0,Tottenham Hotspur,22912,0,1,47,game start,,0.06963867,True,True,1.3181818181818181,2,2,2,Bamidele Alli,0.29696500025250894,0.6818181818181818,0.7371655771219028
1,Tottenham Hotspur,22912,1,2,16,break,Tottenham Hotspur,0.191625471,True,True,1.511111111111111,2,3,2.1,Bamidele Alli,0.3102370433319019,0.5111111111111111,0.5429032039611235
2,Tottenham Hotspur,22912,2,2,33,sub,Liverpool,0.8538907229999999,True,True,1.6923076923076923,2,3,2.4285714285714284,Danny Rose,0.25712324761650646,0.41208791208791207,0.46910561988418714
3,Liverpool,22912,0,1,45,game start,,0.87634993,True,True,1.4181818181818182,2,2,2,Alisson Ramsés Becker,0.28847847247970365,0.5818181818181818,0.585327014858543
4,Liverpool,22912,1,2,16,break,Tottenham Hotspur,0.082593026,True,False,1.3,Error,Error,Error,Error,0.2555679059349343,0.2777777777777778,0.1624920634920635
5,Liverpool,22912,2,2,33,sub,Liverpool,0.208855491,True,True,1.9181818181818182,2,5,3.1818181818181817,Fábio Henrique Tavares,0.25274240835085565,0.37272727272727274,0.37507289349926626
6,Real Madrid,18245,0,1,28,game start,,0.041484230999999996,True,True,1.3636363636363635,1,2,1.9090909090909092,Toni Kroos,0.29798604046615523,0.6363636363636364,0.6396527727343249
7,Real Madrid,18245,1,1,18,sub,Real Madrid,0.317319365,True,False,1.2954545454545454,Error,Error,Error,Error,0.26961581080068975,0.5378787878787878,0.6339642491220564
8,Real Madrid,18245,2,2,18,break,Real Madrid,0.718574641,True,True,1.4696969696969697,2,2,2,Carlos Henrique Casimiro,0.27720137547605117,0.5303030303030303,0.6116470948377483
9,Real Madrid,18245,3,2,29,goal,Liverpool,0.29047990999999995,True,True,1.606060606060606,2,3,2.5833333333333335,Cristiano Ronaldo dos Santos Aveiro,0.26914223648357216,0.4696969696969697,0.6276956039716546
10,Liverpool,18245,0,1,29,game start,,0.6826986150000001,True,True,1.4181818181818182,2,3,2.090909090909091,Andrew Robertson,0.29093506745271536,0.5909090909090909,0.6619224842287847
11,Liverpool,18245,1,1,15,sub,Real Madrid,0.0,True,False,2.033333333333333,Error,Error,Error,Error,0.2860895758578438,0.23333333333333334,0.22333333333333333
12,Liverpool,18245,2,2,17,break,Real Madrid,0.567224555,True,True,2.481818181818182,2,5,3.5454545454545454,Loris Karius,0.27581860313389894,0.20909090909090908,0.3186868686868687
13,Liverpool,18245,3,2,30,goal,Liverpool,0.064496818,True,True,1.553030303030303,2,3,2.1666666666666665,Adam David Lallana,0.2728180434144324,0.4621212121212121,0.5693155383847486
14,Juventus,18244,0,1,19,game start,,0.075956353,True,True,1.5545454545454545,2,3,2.5454545454545454,Mario Mandžukić,0.2795867781772741,0.509090909090909,0.5872141060968313
15,Juventus,18244,1,1,28,goal,Juventus,0.133052371,True,True,1.5454545454545454,2,4,2.272727272727273,Alex Sandro Lobo Silva,0.29009323760320666,0.5272727272727272,0.6080507698599441
16,Juventus,18244,2,2,18,break,Juventus,0.0,True,True,1.8454545454545455,2,4,3.090909090909091,Giorgio Chiellini,0.27958049297165505,0.36363636363636365,0.36179098679098676
17,Juventus,18244,3,2,31,goal,Juventus,0.036131855,True,True,1.8333333333333333,2,4,2.769230769230769,Claudio Marchisio,0.23846765826808067,0.34615384615384615,0.6364317511815422
