,Team,MatchID,Split No.,Period,Delta Time,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
12,Liverpool,18245,2,2,17,0.567224555,Error,Error,1.7818181818181817,2,3,2.6363636363636362,Andrew Robertson,0.2824838424079981,0.34545454545454546,0.48181818181818187
13,Liverpool,18245,3,2,30,0.064496818,Error,Error,1.3333333333333333,1,2,1.9166666666666667,Jordan Brian Henderson,0.28212859338561985,0.6666666666666666,0.7417989417989417
14,Juventus,18244,0,1,19,0.075956353,Error,Error,1.309090909090909,1,2,1.9090909090909092,Miralem Pjanić,0.2966966560660891,0.6909090909090909,0.7494227994227994
15,Juventus,18244,1,1,28,0.133052371,Error,Error,1.309090909090909,2,2,2,Alex Sandro Lobo Silva,0.2971476115673762,0.6909090909090909,0.7073593073593074
16,Juventus,18244,2,2,18,0.0,Error,Error,1.4181818181818182,2,2,2,Alex Sandro Lobo Silva,0.29366578867632626,0.5818181818181818,0.569047619047619
17,Juventus,18244,3,2,31,0.036131855,Error,Error,1.5128205128205128,1,2,1.9230769230769231,Daniel Alves da Silva,0.2568099430826812,0.48717948717948717,0.7636363636363636
18,Real Madrid,18244,0,1,19,0.11433406,Error,Error,1.2727272727272727,2,2,2,Carlos Henrique Casimiro,0.29447374141177113,0.7272727272727273,0.7628427128427128
19,Real Madrid,18244,1,1,24,0.34220322,Error,Error,1.4,2,3,2.3636363636363638,Carlos Henrique Casimiro,0.2864945383509304,0.6545454545454545,0.7494949494949495
20,Real Madrid,18244,2,2,18,0.346467832,Error,Error,1.3636363636363635,2,2,2,Carlos Henrique Casimiro,0.2892582594878307,0.6363636363636364,0.8055555555555555
21,Real Madrid,18244,3,2,29,0.69159945,Error,Error,1.3717948717948718,2,2,2,Carlos Henrique Casimiro,0.2693751758471069,0.6282051282051282,0.6893162393162394
