,Team,MatchID,Split No.,Delta Time,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
22,Juventus,18244,0,19,Error,Error,1.5545454545454545,2,3,2.5454545454545454,Mario Mandžukić,0.2795867781772741,0.509090909090909,0.5872141060968313
23,Juventus,18244,1,6,Error,Error,1.6727272727272726,Error,Error,Error,Error,0.27509360280479905,0.35454545454545455,0.37792999683243583
24,Juventus,18244,2,18,Error,Error,1.511111111111111,Error,Error,Error,Error,0.2913364659197309,0.37777777777777777,0.48222176069544487
25,Juventus,18244,3,13,Error,Error,1.9,2,4,3.090909090909091,Giorgio Chiellini,0.2822372283436771,0.33636363636363636,0.2943813496445075
26,Juventus,18244,4,14,Error,Error,2.053030303030303,Error,Error,Error,Error,0.2491393113650781,0.21212121212121213,0.24190873725757447
27,Juventus,18244,5,10,Error,Error,1.6111111111111112,2,3,2.3333333333333335,Alex Sandro Lobo Silva,0.3094926432518167,0.4722222222222222,0.5814148846542391
28,Juventus,18244,6,2,Error,Error,0.5,Error,Error,Error,Error,Error,0.5,0
29,Real Madrid,18244,0,19,Error,Error,1.4636363636363636,2,3,2.3636363636363638,Carlos Henrique Casimiro,0.2882291089747246,0.5727272727272728,0.656694072686771
30,Real Madrid,18244,1,4,Error,Error,1.2361111111111112,Error,Error,Error,Error,0.23871632143348734,0.18055555555555555,0.08518518518518518
31,Real Madrid,18244,2,19,Error,Error,1.4,2,3,2.1,Carlos Henrique Casimiro,0.3074766326022971,0.6111111111111112,0.7129200148832296
32,Real Madrid,18244,3,15,Error,Error,1.6363636363636365,2,3,2.4545454545454546,Carlos Henrique Casimiro,0.27909966588315105,0.44545454545454544,0.6456482559665241
33,Real Madrid,18244,4,12,Error,Error,1.4272727272727272,Error,Error,Error,Error,0.2760035051034415,0.41818181818181815,0.5588344080291799
34,Real Madrid,18244,5,10,Error,Error,1.9666666666666666,2,4,3.1,Daniel Carvajal Ramos,0.2854339546812381,0.32222222222222224,0.312301360490215
35,Real Madrid,18244,6,5,Error,Error,2.0694444444444446,2,4,3.111111111111111,Marcelo Vieira da Silva Júnior,0.31289844460140703,0.2916666666666667,0.35481581446493726
36,Real Madrid,18243,0,13,Error,Error,1.6181818181818182,2,4,2.6363636363636362,Carlos Henrique Casimiro,0.2870091291176003,0.4636363636363636,0.43403106814921893
37,Real Madrid,18243,1,29,Error,Error,1.3454545454545455,2,2,2,Carlos Henrique Casimiro,0.29448234303308135,0.6545454545454545,0.674945335211864
38,Real Madrid,18243,2,4,Error,Error,1.7,Error,Error,Error,Error,0.40000000000372526,0.25,0
39,Real Madrid,18243,3,20,Error,Error,1.690909090909091,2,3,2.727272727272727,Carlos Henrique Casimiro,0.2740894003636891,0.42727272727272725,0.4949507032830003
40,Real Madrid,18243,4,16,Error,Error,1.690909090909091,2,3,2.5454545454545454,Cristiano Ronaldo dos Santos Aveiro,0.2837720868062487,0.41818181818181815,0.5732860416156106
41,Real Madrid,18243,5,13,Error,Error,1.8181818181818181,2,4,2.8181818181818183,Carlos Henrique Casimiro,0.2718599299417489,0.36363636363636365,0.42351304612889457
42,Real Madrid,18243,6,7,Error,Error,2.263888888888889,3,6,3.7777777777777777,Luka Modrić,0.30793910437941285,0.2777777777777778,0.26698459110739814
43,Real Madrid,18243,7,5,Error,Error,1.5636363636363637,Error,Error,Error,Error,0.24430083041154807,0.2636363636363636,0.43305256554950555
44,Atlético Madrid,18243,0,13,Error,Error,1.8444444444444446,Error,Error,Error,Error,0.2600860399159377,0.2111111111111111,0.04871794871794872
45,Atlético Madrid,18243,1,30,Error,Error,1.288888888888889,2,3,2.2,Augusto Matías Fernández,0.30207727496481657,0.7333333333333333,0.7967088319380042
46,Atlético Madrid,18243,2,3,Error,Error,1.625,Error,Error,Error,Error,0.2651705455576291,0.20833333333333334,0.23174603174603176
47,Atlético Madrid,18243,3,19,Error,Error,1.7,2,4,2.8,Diego Roberto Godín Leal,0.27141183418429254,0.4777777777777778,0.5244689472082216
48,Atlético Madrid,18243,4,20,Error,Error,1.4545454545454546,Error,Error,Error,Error,0.2717154541235244,0.44545454545454544,0.7366755797602598
49,Atlético Madrid,18243,5,14,Error,Error,1.4454545454545455,Error,Error,Error,Error,0.27128201097763593,0.41818181818181815,0.4948610256114905
50,Atlético Madrid,18243,6,7,Error,Error,1.6904761904761905,Error,Error,Error,Error,0.3337031804297748,0.2857142857142857,0.17936507936507937
51,Atlético Madrid,18243,7,3,Error,Error,2.4027777777777777,3,6,4.111111111111111,Antoine Griezmann,0.28185268786549855,0.2638888888888889,0.15987654320987654
52,Juventus,18242,0,45,Error,Error,1.4,2,3,2.1818181818181817,Andrea Barzagli,0.2892870593862871,0.6181818181818182,0.6104047929952789
53,Juventus,18242,1,8,Error,Error,2.422222222222222,Error,Error,Error,Error,0.26838060678603437,0.2,0.13887362637362638
54,Juventus,18242,2,11,Error,Error,1.6818181818181819,2,4,2.6363636363636362,Leonardo Bonucci,0.28148770834028414,0.41818181818181815,0.44098361936806524
55,Juventus,18242,3,4,Error,Error,2.0555555555555554,Error,Error,Error,Error,0.2791430411705591,0.18055555555555555,0.08518518518518518
56,Juventus,18242,4,10,Error,Error,1.9545454545454546,Error,Error,Error,Error,0.2546650887440905,0.2636363636363636,0.3544937518621729
57,Juventus,18242,5,5,Error,Error,1.0972222222222223,Error,Error,Error,Error,0.3010234950137585,0.2222222222222222,0.14925925925925926
58,Juventus,18242,6,0,Error,Error,Error,Error,Error,Error,Error,Error,0.0,Error
