,Team,MatchID,Split No.,Period,Delta Time,Delta xG,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
35,Atlético Madrid,18243,3,2,22,0.49839726399999995,True,False,1.4545454545454546,Error,Error,Error,Error,0.2717154541235244,0.44545454545454544,0.7366755797602598
36,Atlético Madrid,18243,4,3,15,0.07429361599999999,True,False,1.4454545454545455,Error,Error,Error,Error,0.27128201097763593,0.41818181818181815,0.4948610256114905
37,Atlético Madrid,18243,5,4,20,3.04,True,False,2.106060606060606,Error,Error,Error,Error,0.2489719387084824,0.22727272727272727,0.20085172395543913
38,Juventus,18242,0,1,45,0.27992,True,True,1.4,2,3,2.1818181818181817,Andrea Barzagli,0.2892870593862871,0.6181818181818182,0.6104047929952789
39,Juventus,18242,1,2,22,0.867820605,True,True,1.5636363636363637,2,4,2.5454545454545454,Andrea Barzagli,0.28506275180237733,0.5,0.5019900220733179
40,Juventus,18242,2,2,17,0.07151432,True,True,2.3484848484848486,2,6,3.6666666666666665,Carlos Alberto Tevez,0.262204245165471,0.22727272727272727,0.13963664503138187
41,Juventus,18242,3,2,12,0.06905441100000001,True,False,1.3,Error,Error,Error,Error,0.22421864704651692,0.2818181818181818,0.4066921966921967
42,Barcelona,18242,0,1,45,0.805794097,True,True,1.2727272727272727,2,2,2,Andrés Iniesta Luján,0.2916158509219092,0.7272727272727273,0.7708670398317177
43,Barcelona,18242,1,2,22,0.786639768,True,True,1.4727272727272727,2,3,2.272727272727273,Andrés Iniesta Luján,0.28826584190591525,0.5636363636363636,0.6215811602330104
44,Barcelona,18242,2,2,14,0.5826298209999999,True,False,1.6454545454545455,Error,Error,Error,Error,0.2506851521916613,0.2545454545454545,0.254764693042205
45,Barcelona,18242,3,2,12,0.3586146,True,False,2.1666666666666665,Error,Error,Error,Error,0.2643750630741805,0.18888888888888888,0.09444444444444444
46,Real Madrid,18241,0,1,35,0.15581047,True,True,1.4272727272727272,2,3,2.1818181818181817,Daniel Carvajal Ramos,0.28262569008066174,0.5909090909090909,0.670633611045041
47,Real Madrid,18241,1,1,10,0.0,True,True,1.8,2,4,2.909090909090909,Daniel Carvajal Ramos,0.27571266337764117,0.37272727272727274,0.4562632036591654
48,Real Madrid,18241,2,2,13,0.10319113399999999,True,True,2.0727272727272728,2,4,3.3636363636363638,Iker Casillas Fernández,0.2780590970710188,0.2909090909090909,0.24473516679399032
49,Real Madrid,18241,3,2,20,0.33134172799999995,True,True,1.5272727272727273,2,3,2.3636363636363638,Cristiano Ronaldo dos Santos Aveiro,0.2828408823596999,0.5181818181818182,0.6544249918799254
50,Real Madrid,18241,4,2,17,0.053031564,True,False,1.3777777777777778,Error,Error,Error,Error,0.2920415334054067,0.45555555555555555,0.5056092739403273
51,Real Madrid,18241,5,3,15,0.073277748,True,True,1.5555555555555556,2,3,2.2,Cristiano Ronaldo dos Santos Aveiro,0.30952583457039456,0.4888888888888889,0.549442794263583
52,Real Madrid,18241,6,4,18,1.58406045,True,False,1.7363636363636363,Error,Error,Error,Error,0.26035374095259284,0.2909090909090909,0.31903312500772724
53,Atlético Madrid,18241,0,1,35,0.33421765,True,False,1.4696969696969697,Error,Error,Error,Error,0.257236969621576,0.4318181818181818,0.46639188148607796
54,Atlético Madrid,18241,1,1,10,0.06363565,True,False,1.9861111111111112,Error,Error,Error,Error,0.2974768013882164,0.2638888888888889,0.3114774114774115
55,Atlético Madrid,18241,2,2,12,0.124220092,True,True,1.8333333333333333,2,4,3,Tiago Cardoso Mendes,0.2917303290809087,0.35555555555555557,0.4159158815041168
56,Atlético Madrid,18241,3,2,19,0.15478301,True,True,1.9333333333333333,2,4,3.2,Jorge Resurrección Merodio,0.2886124232537322,0.35555555555555557,0.5815901907778382
57,Atlético Madrid,18241,4,2,12,0.053264573,True,False,1.5727272727272728,Error,Error,Error,Error,0.2311634966127917,0.20909090909090908,0.22515010789004597
58,Atlético Madrid,18241,5,3,16,0.0,True,False,2.022222222222222,Error,Error,Error,Error,0.23880471865430636,0.18888888888888888,0.14108187134502922
59,Atlético Madrid,18241,6,4,18,0.22204494600000002,True,False,1.2555555555555555,Error,Error,Error,Error,0.23289677036580464,0.2222222222222222,0.30818181818181817
60,Borussia Dortmund,18240,0,1,45,0.325770237,True,True,1.3272727272727274,2,2,2,Jakub Błaszczykowski,0.29398387465900505,0.6727272727272727,0.7049999878350217
61,Borussia Dortmund,18240,1,2,14,0.0,True,True,2.0090909090909093,2,5,3.3636363636363638,Neven Subotić,0.2601240926671046,0.3090909090909091,0.35447971361284053
62,Borussia Dortmund,18240,2,2,35,1.0162887999999999,True,True,1.7564102564102564,2,3,2.6923076923076925,Marcel Schmelzer,0.24868719605733008,0.358974358974359,0.39111552848086706
63,Bayern Munich,18240,0,1,45,0.8886058990000001,True,True,1.2818181818181817,1,2,1.8181818181818181,Bastian Schweinsteiger,0.29798747270826575,0.7181818181818181,0.7347329584538866
64,Bayern Munich,18240,1,2,14,1.13753926,True,True,1.709090909090909,2,3,2.4545454545454546,Arjen Robben,0.2924799086579121,0.4090909090909091,0.34789801966989914
65,Bayern Munich,18240,2,2,34,0.9766717300000001,True,False,1.5454545454545454,Error,Error,Error,Error,0.24545775436336043,0.42424242424242425,0.5233762105482745
66,Bayern Munich,18237,0,1,45,0.936912151,True,True,1.2727272727272727,1,2,1.9090909090909092,Bastian Schweinsteiger,0.2970333743566887,0.7272727272727273,0.7779915178424126
67,Bayern Munich,18237,1,2,27,0.516359581,True,True,1.5,1,2,1.9090909090909092,Bastian Schweinsteiger,0.2772332701037051,0.5,0.7152332479050882
68,Bayern Munich,18237,2,2,17,0.545765605,True,False,1.7803030303030303,Error,Error,Error,Error,0.23892978578196777,0.3181818181818182,0.43469645511424937
69,Bayern Munich,18237,3,3,16,0.8770337260000001,True,True,1.878787878787879,2,4,2.8333333333333335,Philipp Lahm,0.25578995138058114,0.3333333333333333,0.47343469663028553
70,Bayern Munich,18237,4,4,22,4.362878814999999,True,False,1.4222222222222223,Error,Error,Error,Error,0.28434154762063685,0.4222222222222222,0.5131985250675952
71,Chelsea,18237,0,1,46,0.08311545000000001,True,True,1.3545454545454545,2,2,2,Ashley Cole,0.29714244727778755,0.6454545454545455,0.6939125925502084
72,Chelsea,18237,1,2,27,0.032809219,True,True,1.4363636363636363,2,3,2.090909090909091,Ashley Cole,0.29177278830390185,0.5727272727272728,0.60670953070952
73,Chelsea,18237,2,2,21,0.114109875,True,True,1.8257575757575757,2,3,2.75,John Michael Nchekwube Obinna,0.26672185656642816,0.3333333333333333,0.4289056271131385
74,Chelsea,18237,3,3,15,0.047598111,True,True,1.8545454545454545,2,4,2.8181818181818183,Frank Lampard,0.2773749175419179,0.36363636363636365,0.49962423999857153
75,Chelsea,18237,4,4,22,3.8,True,True,2.1454545454545455,3,5,3.8181818181818183,Gary Cahill,0.2781073729553262,0.2727272727272727,0.2600823153454732
76,Barcelona,18236,0,1,26,0.532367383,True,True,1.3272727272727274,2,2,2,Andrés Iniesta Luján,0.2916721976246132,0.6727272727272727,0.7261165440473603
77,Barcelona,18236,1,1,18,0.47364745599999997,True,True,1.5,2,3,2.5454545454545454,Daniel Alves da Silva,0.2789243110433048,0.5545454545454546,0.6680721974824857
78,Barcelona,18236,2,2,22,0.708008084,True,True,1.518181818181818,2,3,2.3636363636363638,Andrés Iniesta Luján,0.2840801207295209,0.5272727272727272,0.641980922418539
79,Barcelona,18236,3,2,25,0.118840473,True,True,1.7142857142857142,2,4,2.7142857142857144,Andrés Iniesta Luján,0.25086523425195206,0.4175824175824176,0.5063831047907347
80,Manchester United,18236,0,1,26,0.04244132,True,True,1.4727272727272727,2,3,2.090909090909091,Edwin van der Sar,0.29030841246060807,0.5363636363636364,0.5488062687403565
81,Manchester United,18236,1,1,19,0.29245424,True,False,1.9181818181818182,Error,Error,Error,Error,0.24907791092399967,0.2818181818181818,0.33652944609882407
82,Manchester United,18236,2,2,23,0.0,True,True,2.081818181818182,2,5,3.727272727272727,Edwin van der Sar,0.2524734768165353,0.3,0.4268322832209042
83,Manchester United,18236,3,2,25,0.10248668799999999,True,True,1.5227272727272727,2,3,2.1666666666666665,Edwin van der Sar,0.27914769117681965,0.49242424242424243,0.5196509134271214
84,Bayern Munich,18235,0,1,33,0.30458780599999996,True,True,1.4454545454545455,1,3,2,Bastian Schweinsteiger,0.2958808703505162,0.5727272727272728,0.620059970502192
85,Bayern Munich,18235,1,1,11,0.125858986,True,False,1.2636363636363637,Error,Error,Error,Error,0.26803382030031203,0.4090909090909091,0.5579656795525226
86,Bayern Munich,18235,2,2,17,0.41900425700000005,True,True,1.7636363636363637,2,4,3,Daniel Van Buyten,0.2631652138736273,0.42727272727272725,0.6683535316588843
87,Bayern Munich,18235,3,2,15,0.334786907,True,False,1.4555555555555555,Error,Error,Error,Error,0.2760918748625797,0.4111111111111111,0.47837498522982397
88,Bayern Munich,18235,4,2,15,0.13980796399999998,True,False,1.2555555555555555,Error,Error,Error,Error,0.27354263494816417,0.4,0.6379545329222749
89,Inter Milan,18235,0,1,33,0.497601105,True,True,1.6,2,3,2.3636363636363638,Cristian Eugen Chivu,0.27720644651913945,0.45454545454545453,0.4744359562006621
90,Inter Milan,18235,1,1,11,0.22608456,True,False,1.1818181818181819,Error,Error,Error,Error,0.21081325389196934,0.17272727272727273,0.1858974358974359
91,Inter Milan,18235,2,2,16,0.191472039,True,True,2.2454545454545456,3,4,3.727272727272727,Cristian Eugen Chivu,0.2645004813734819,0.24545454545454545,0.2250736105999264
92,Inter Milan,18235,3,2,16,0.25304130199999997,True,False,1.1527777777777777,Error,Error,Error,Error,0.25897190399062375,0.2777777777777778,0.3004752654752655
93,Inter Milan,18235,4,2,15,0.0,True,False,1.5972222222222223,Error,Error,Error,Error,0.2726762328210645,0.2638888888888889,0.5812915479582146
94,Barcelona,3750201,0,1,46,0.186639832,True,True,1.3272727272727274,2,3,2.090909090909091,Andrés Iniesta Luján,0.29374045587818254,0.6818181818181818,0.7633023020043256
95,Barcelona,3750201,1,2,20,0.307922275,True,True,1.518181818181818,2,3,2.272727272727273,Andrés Iniesta Luján,0.28678430471096467,0.5272727272727272,0.6559596358841835
96,Barcelona,3750201,2,2,27,0.796873438,True,True,1.6,2,3,2.272727272727273,Andrés Iniesta Luján,0.280990721469654,0.45454545454545453,0.560797699121174
97,Manchester United,3750201,0,1,45,0.41044105799999997,True,True,1.3818181818181818,1,3,2.090909090909091,Nemanja Vidić,0.2945488735254027,0.6363636363636364,0.6824299599803635
98,Manchester United,3750201,1,2,20,0.0,True,True,1.5545454545454545,2,4,2.3636363636363638,Carlos Alberto Tevez,0.2801798927095663,0.509090909090909,0.5376322985579536
99,Manchester United,3750201,2,2,28,0.621461286,True,True,1.5757575757575757,2,3,2.3333333333333335,Michael Carrick,0.276354925684001,0.48484848484848486,0.5136307001009177
100,AC Milan,3750200,0,1,46,0.36607321600000003,True,True,1.4454545454545455,2,3,2.272727272727273,Alessandro Nesta,0.28353423443616543,0.5909090909090909,0.6464609353552602
101,AC Milan,3750200,1,2,12,0.0,True,True,1.981818181818182,3,4,3.3636363636363638,Andrea Pirlo,0.27480079595184853,0.3,0.4083000333000333
102,AC Milan,3750200,2,2,19,0.054051577,True,False,1.5888888888888888,Error,Error,Error,Error,0.2806941460381803,0.35555555555555557,0.5458881725890712
103,AC Milan,3750200,3,2,15,0.4365916,True,False,1.6636363636363636,Error,Error,Error,Error,0.2563372336829584,0.33636363636363636,0.5446782900178486
104,Liverpool,3750200,0,1,45,0.29256782,True,True,1.5545454545454545,2,3,2.4545454545454546,Boudewijn Zenden,0.2714269429142801,0.5272727272727272,0.5608165362984381
105,Liverpool,3750200,1,2,13,0.02714899,True,True,1.8,2,4,2.727272727272727,Boudewijn Zenden,0.2892879557189679,0.38181818181818183,0.41203984356044104
106,Liverpool,3750200,2,2,19,0.195447007,True,True,1.6727272727272726,2,3,2.5454545454545454,Daniel Munthe Agger,0.2940985721976951,0.42727272727272725,0.41400313970787433
107,Liverpool,3750200,3,2,15,0.4431067675,True,True,2.227272727272727,3,5,3.6363636363636362,Jamie Carragher,0.265451336129441,0.2636363636363636,0.28485228222070325
108,AC Milan,2302764,0,1,22,0.199345688,True,True,1.6222222222222222,2,3,2.3,Alessandro Nesta,0.3000926324556548,0.45555555555555555,0.5828712685101747
109,AC Milan,2302764,1,1,23,1.0532538900000001,True,True,1.5727272727272728,2,3,2.272727272727273,Alessandro Nesta,0.29037323540411936,0.4818181818181818,0.6216622899276563
110,AC Milan,2302764,2,2,14,0.102066816,True,True,1.7222222222222223,2,4,3,Andrea Pirlo,0.2887180025845544,0.43333333333333335,0.5674667099065624
111,AC Milan,2302764,3,2,31,0.955780847,True,False,1.5256410256410255,Error,Error,Error,Error,0.24588964937203606,0.3974358974358974,0.6811950254313035
112,AC Milan,2302764,4,3,15,0.082578052,True,True,1.7272727272727273,2,4,2.909090909090909,Alessandro Nesta,0.27629301591125843,0.4,0.523216506130068
113,AC Milan,2302764,5,4,21,3.76122419,True,False,1.6742424242424243,Error,Error,Error,Error,0.2529288412881923,0.3409090909090909,0.47379792192098696
114,Liverpool,2302764,0,1,22,0.045281665,True,True,1.6,2,3,2.4545454545454546,Djimi Traoré,0.2829236841949888,0.4727272727272727,0.5590326327707311
115,Liverpool,2302764,1,1,24,0.149583819,True,True,1.690909090909091,2,4,3.272727272727273,Steve Finnan,0.2653877539138815,0.4818181818181818,0.5614540752297414
116,Liverpool,2302764,2,2,14,1.4821170879999999,True,True,1.8,2,4,2.909090909090909,Dietmar Hamann,0.27447403782206176,0.39090909090909093,0.6069328936000449
117,Liverpool,2302764,3,2,31,0.088366646,True,True,1.5333333333333334,2,4,2.6,Dietmar Hamann,0.29656482171266424,0.5444444444444444,0.6259676266314341
118,Liverpool,2302764,4,3,16,0.0,True,False,1.8818181818181818,Error,Error,Error,Error,0.2724131520873493,0.24545454545454545,0.4085767978791235
119,Liverpool,2302764,5,4,21,3.096828907,True,True,1.8333333333333333,2,4,3,Steven Gerrard,0.29470711150857387,0.36666666666666664,0.608176034491824
120,AS Monaco,3752619,0,1,23,0.030981608,True,True,1.7,2,3,2.6363636363636362,Gaël Givet-Viaros,0.28882655995681095,0.4,0.34038598459273534
121,AS Monaco,3752619,1,1,23,0.0,True,True,1.518181818181818,2,3,2.1818181818181817,Andreas Vasilios Zikos,0.28476504756166804,0.5,0.5209997702890513
122,AS Monaco,3752619,2,2,14,0.015092624,True,True,1.5909090909090908,2,3,2.272727272727273,Andreas Vasilios Zikos,0.2916882783393483,0.4636363636363636,0.5659829449487893
123,AS Monaco,3752619,3,2,14,0.238029135,True,True,1.7636363636363637,2,3,2.8181818181818183,Patrice Evra,0.27655706599108076,0.38181818181818183,0.3959960264668614
124,AS Monaco,3752619,4,2,19,0.24394442300000002,True,False,1.4454545454545455,Error,Error,Error,Error,0.27291953422504167,0.41818181818181815,0.45464852784674226
125,FC Porto,3752619,0,1,22,0.010999546,True,True,1.5363636363636364,2,3,2.272727272727273,Anderson Luís de Souza,0.2909116287719759,0.5181818181818182,0.6253371465880401
126,FC Porto,3752619,1,1,22,0.086325325,True,False,1.4333333333333333,Error,Error,Error,Error,0.25906286382345667,0.3111111111111111,0.4740649350649351
127,FC Porto,3752619,2,2,14,0.0,True,False,1.5545454545454545,Error,Error,Error,Error,0.27558503298054,0.35454545454545455,0.43354424028014876
128,FC Porto,3752619,3,2,14,0.5520139799999999,True,False,1.0555555555555556,Error,Error,Error,Error,0.23412348395191535,0.25555555555555554,0.24716727716727716
129,FC Porto,3752619,4,2,17,0.0,True,True,1.9181818181818182,2,3,2.909090909090909,Ricardo Alberto Silveira de Carvalho,0.26885285914118495,0.3090909090909091,0.3666772436728091
130,Aston Villa,3775648,0,1,45,0.037459332,True,False,1.7777777777777777,Error,Error,Error,Error,0.2604564854161948,0.3,0.33276825170014024
131,Aston Villa,3775648,1,2,12,0.088589374,True,False,1.7555555555555555,Error,Error,Error,Error,0.2517655029302974,0.24444444444444444,0.2859689003806651
132,Aston Villa,3775648,2,2,13,0.0,True,False,1.4166666666666667,Error,Error,Error,Error,0.29744610913420877,0.2916666666666667,0.2920240415854451
133,Aston Villa,3775648,3,2,22,0.246857653,True,True,2.272727272727273,3,5,3.6363636363636362,Marisa Ewers,0.2701977624575995,0.24545454545454545,0.2556332556332556
134,Arsenal WFC,3775648,0,1,45,0.69150461,True,True,1.2181818181818183,1,2,1.9090909090909092,Leah Williamson,0.29204059161873547,0.7818181818181819,0.8848621526580598
135,Arsenal WFC,3775648,1,2,12,0.74480305,True,False,1.3454545454545455,Error,Error,Error,Error,0.2770903488614288,0.4818181818181818,0.5761001882354747
136,Arsenal WFC,3775648,2,2,11,1.307418756,True,True,1.5818181818181818,2,3,2.1818181818181817,Bethany Mead,0.28972603976469935,0.43636363636363634,0.5005584875650665
137,Arsenal WFC,3775648,3,2,22,0.385585035,True,True,1.8047619047619048,2,4,2.933333333333333,Leah Williamson,0.2385746754596422,0.36666666666666664,0.4355204745022682
138,Arsenal WFC,3775609,0,1,32,1.2858235800000002,True,True,1.3181818181818181,2,2,2,Bethany Mead,0.2983345333838967,0.6818181818181818,0.7001432310597957
139,Arsenal WFC,3775609,1,1,12,0.12674831,True,True,1.6454545454545455,2,3,2.4545454545454546,Lydia Grace Yilkari Williams,0.28608120778883056,0.44545454545454544,0.548877661010551
140,Arsenal WFC,3775609,2,2,10,0.029564602,True,True,1.8181818181818181,2,4,2.8181818181818183,Lia Wälti,0.2877035829057674,0.35454545454545455,0.42882534796410393
141,Arsenal WFC,3775609,3,2,15,0.68060294,True,True,1.8,2,4,2.909090909090909,Kim Little,0.27340994053325623,0.38181818181818183,0.41907812932546773
142,Arsenal WFC,3775609,4,2,22,0.578417174,True,True,1.564102564102564,2,3,2.3076923076923075,Anna Patten,0.2638008163203084,0.46794871794871795,0.5302398687616549
143,West Ham United LFC,3775609,0,1,32,0.0,True,True,1.8181818181818181,2,4,2.8181818181818183,Dagný Brynjarsdóttir,0.2622522704352048,0.37272727272727274,0.45323583823583824
